S3-E05 ,The challenge of hope is to overcome corruption.
S3-E06 ,Those who enforce the law must obey the law.
S3-E07 ,The future has many paths – choose wisely.
S3-E08 ,A failure in planning is a plan for failure.
S3-E09 ,Love comes in all shapes and sizes.
S3-E10 ,Fear is a great motivator.
S3-E11 ,Truth can strike down the spectre of fear.
S3-E12 ,The swiftest path to destruction is through vengeance.
S3-E13 ,"Evil is not born, it is taught."
S3-E14 ,"The path to evil may bring great power, but not loyalty."
S3-E15 ,Balance is found in the one who faces his guilt.
S3-E16 ,"He who surrenders hope, surrenders life."
S3-E17 ,He who seeks to control fate shall never find peace.
S3-E18 ,Adaptation is the key to survival.
S3-E19 ,Anything that can go wrong will.
S3-E20 ,"Without honor, victory is hollow."
S3-E21 ,"Without humility, courage is a dangerous game."
S3-E22 ,A great student is what the teacher hopes to be.
S4-E01 ,"When destiny calls, the chosen have no choice."
S4-E02 ,Only through fire is a strong sword forged.
S4-E03 ,"Crowns are inherited, kingdoms are earned."
S4-E04 ,Who a person truly is cannot be seen with the eye.
S4-E05 ,Understanding is honoring the truth beneath the surface.
S4-E06 ,"Who’s the more foolish, the fool or the fool who follows him?"
S4-E07 ,The first step towards loyalty is trust.
S4-E08 ,The path of ignorance is guided by fear.
S4-E09 ,"The wise man leads, the strong man follows."
S4-E10 ,Our actions define our legacy.
S4-E11 ,Where we are going always reflects where we came from.
S4-E12 ,"Those who enslave others, inevitably become slaves themselves."
S4-E13 ,Great hope can come from small sacrifices.
S4-E14 ,Friendship shows us who we really are.
S4-E15 ,All warfare is based on deception.
S4-E16 ,"Keep your friends close, but keep your enemies closer."
S4-E17 ,"The strong survive, the noble overcome."
S4-E18 ,"Trust is the greatest of gifts, but it must be earned."
S4-E19 ,One must let go of the past to hold on to the future.
S4-E20 ,"Who we are never changes, who we think we are does."
S4-E21 ,"A fallen enemy may rise again, but the reconciled one is truly vanquished."
S4-E22 ,The enemy of my enemy is my friend.
S5-E01 ,Strength of character can defeat strength in numbers.
S5-E02 ,Fear is a malleable weapon.
S5-E03 ,To seek something is to believe in its possibility.
S5-E04 ,Struggles often begin and end with the truth.
S5-E05 ,Disobedience is a demand for change.
S5-E06 ,"He who faces himself, finds himself."
S5-E07 ,The young are often underestimated.
S5-E08 ,"When we rescue others, we rescue ourselves."
S5-E09 ,"Choose your enemies wisely, as they may be your last hope."
S5-E10 ,Humility is the only defense against humiliation.
S5-E11 ,"When all seems hopeless, a true hero gives hope."
S5-E12 ,A soldier’s most powerful weapon is courage.
S5-E13 ,You must trust in others or success is impossible.
S5-E14 ,One vision can have many interpretations.
S5-E15 ,Alliances can stall true intentions.
S5-E16 ,Morality separates heroes from villains.
S5-E17 ,Sometimes even the smallest doubt can shake the greatest belief.
S5-E18 ,Courage begins by trusting oneself.
S5-E19 ,Never become desperate enough to trust the untrustworthy.
S5-E20 ,"Never give up hope, no matter how dark things seem."
S6-E01 ,The truth about yourself is always the hardest to accept.
S6-E02 ,The wise benefit from a second opinion.
S6-E03 ,"When in doubt, go to the source."
S6-E04 ,The popular belief isn’t always the correct one.
S6-E05 ,"To love, is to trust. To trust is to believe."
S6-E06 ,Jealousy is the path to chaos.
S6-E07 ,Deceit is the weapon of greed.
S6-E08 ,Without darkness there cannot be light.
S6-E09 ,Wisdom is born in fools as well as wise men.
S6-E10 ,What is lost is often found.
S6-E11 ,Madness can sometimes be the path to truth.
S6-E12 ,Death is just the beginning.
S6-E13 ,Facing all that you fear will free you from yourself.
S7-E01 ,"Embrace others for their differences, for that makes you whole."
S7-E02 ,The search for truth begins with belief.
S7-E03 ,Survival is one step on the path to living.
S7-E04 ,Trust placed in another is trust earned.
S7-E05 ,"If there is no path before you, create your own."
S7-E06 ,Mistakes are valuable lessons often learned too late.
S7-E07 ,Who you were does not have to define who you are.
S7-E08 ,"You can change who you are, but you cannot run from yourself."
S7-E09 ,No quote
S7-E10 ,No quote
S7-E11 ,No quote
S7-E12 ,No quote
